User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Aspek
Ayu Taman Sari,2025,5,minggu lalu kami memilih hotel ini untuk menikmati liburan sekolah anak kami menurut saya ini pelayanan terbaik dari hotel bintang 4 yang pernah saya rasakan semua fasilitas yang masih terawat dan yang paling mengagumkan adalah pelayanan stafnya yang sangat ramah dan bahkan sampai staf dapur yang sangat membantu saya untuk mengantarkan scramble telur ke meja saya karena saya tidak bisa lama meninggalkan anak saya di meja makan sendirian di malam hari saya belum memutuskan untuk makan malam d resto hotel staf nya sangat ramah dan juga hasil masakan yang sangat nikmat beberapa teman juga sudah berarti tempat saya liburan ini melalui cerita saya dan saya sangat merekomendasikan,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Pelayanan Staf & Keramahan
M Shodiq,2025,4,hotel ini memangnlumaya temoatnya iniidah fi lereng bukit bangunsnnya mengikuti kontur tanah,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Harga & Value for Money
Hunggar JR Hunggar,2025,1,Pengemudi parkir online tidak ada malah parkir dekat portal suruh jalan kaki ke lobi dan lobi lumayan jauh kalau kirim makanan atau barang,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",neutral,Infrastruktur (AC/WiFi/Parkir/Air)
iwan setyawan,2025,4,ikut acara di sini sejauh ini begitu baik tapi ada kebutuhan di evaluasi pengaturan suara saat acara live musik biar lebih enak dan matab di dengarkan,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Harga & Value for Money
Deka Lazuardi Harmoni Balitour,2025,5,Mau ada acara besar survei dulu ke hotel ini ternyata hotel nya luas view nya indah sekali,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Lokasi & Akses Strategis
Wahyu Hagono,2025,3,hotel yang diurus oleh empat titik yang berlokasi tidak jauh dari gerbang masuk ke area wisata gwk hotel nya cukup besar dan luas sayang sudah banyak perlu perbaikan untuk infrastrukturnya lokasi baru agak jauh dari tempat wisata utama bali seperti daerah kuta seminyak canggu dan nusa dua di sekitar hotel tidak banyak pilihan resto yang menarik atau kuliner terkenal bali kamar dengan balkon nya di lantai 6 cukup luas dengan fasilitas standar pemandangan gunung terlihat cuaca cerah tempat tidur mandi cukup nyaman dan kamar walau terjaga kebersihan nya untuk saluran pembuangan nya agak berbau cukup tajam ukuran TV 50 dengan saluran kabel sayang belum android tv sehingga tidak bisa,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Fasilitas Hotel (Kolam/Gym/Spa)
83manovie,2025,5,menu sarapannya super lezat hari ini 12 juli makan bubur ayamnya mpe tambahkan 3x trus smua segar jusnya jg dan stafnya super senyum tidak bedain org lokal atau bule smua disapa wlo sibuk banget kayaknya karena rame hrusnya hotel lain seperti ini ya y utama itu ramah kereen tidak nyesel bawa grup n buat acara kesini smoga renovasi segera selesai yaa bintang 10 deh u stafnya smua n chefnyaa sapa sih enak banget masakannya smuaanyaa,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Pelayanan Staf & Keramahan
Ajhie Bali Trans,2025,3,hotelnya lumayan tapi sayangnya sekuriti nya kurang sopan monil baru di lobi saja sudah di tanyak dengan nada muka tajam kaya mau oerang saja jujur buar sopir gk nyaman tamu saja tagihan hahahaha,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",negative,Harga & Value for Money
Fajar Yuliansyah,2025,5,kamarnya bersih kamar mandinya bersih fasilitas memadai ac berfungsi dengan sangat baik,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Kebersihan & Kenyamanan Kamar
dhermawan arief,2025,4,bagi yang suka lokasi yang lagi jauh dari keramaian bisa menginap di sini letaknya di dekat objek wisata gwk ada kamar2 tertentu yang pemandangan langsung terlihat patung gwk,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Lokasi & Akses Strategis
SCE Denpasar,2025,5,Saat sarapan staf nya ramah2 makannya enak dan varian nya banyak,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Pelayanan Staf & Keramahan
NUANSA RAHMADI,2025,5,kedatangan kedua kalinya di hotel ini kamarnya luas dan bersih makanan enak lokasi dapat ditempuh dari tol bali mandara kendala kalau hujan tambah angin ada hujan di beberapa lantai tapi petugasnya selalu siap kok di resto dilayani oleh petugas an yuli,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Kebersihan & Kenyamanan Kamar
Rohman Man,2025,5,lokasi nyaman kolam renang bersih pemandangan indah dari balkon banyak kejutan dari staf hotel,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Fasilitas Hotel (Kolam/Gym/Spa)
julian yahya,2025,5,Saya baru pulang kemaren dari empat poin untuk layanan mantap deh tidak di ragukan kamar yang nyaman dengan view di balkon yang enak di mata kolam renang yang tersedia sangat enak tidak ada antrian seperti milik kolam renang privasi hahaha pokoknya nyaman deh terima kasih empat poin oleh sheraton bali,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Fasilitas Hotel (Kolam/Gym/Spa)
jimmy soemitro,2025,4,jujur kalau bicara bonvoy group hotel ini tidak seperti bonvoy group lainnya bahlan dengan empat poin manado masih bagus yang di manado kamar perlu beberapa renovasi seperti klosetnya kamar interior juga terlihat agak jadul makanan tidak terlalu bervariasi tapi rasanya enak lokasi dekat gwk,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Kualitas Makanan & Restoran
I Wayan Suarya,2025,5,Hampir semua hal kami sukai dan luar biasa hanya agak bising karena kamar kami agak dekat ke arah jalan raya,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Lokasi & Akses Strategis
yustina nita,2025,4,kamarnya luas nyaman cm lupa dikasih sandal di kamar jadi harus minta ke hotelnya view nya bagus krna posisi di bukit dekat pantai melasti tapi jalan akses ke hotel nya macet stafnya ramah2 terutama mbak ria staf di resto ada bocor di resto dan saat sarapan netes2 airnya dari atap ditadahin ember di lantai makannanya enak2 banget,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Kebersihan & Kenyamanan Kamar
Ennis tristiarine,2025,5,Kamar layanan bagus setiap hari dibersihkan layanan makan juga memuaskan kerjasama tim yang bagus untuk mb ratna dan tim terima kasih ya mb ratna devyana lokasi hotelpun bagus tenang cocok untuk akhir pekan rapat dsbnya pekerjaan baik untuk semua,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Kebersihan & Kenyamanan Kamar
Siti Suprehatin,2025,5,fasilitas kamar sangat lengkap tersedia sterika hairdresser dll layanan staf sangat baik pemandangan indah lokasi strategis di samping gwk sehingga cocok untuk yang suka lari pagi sangat dianjurkan untuk bekerja maupun liburan di bali,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Lokasi & Akses Strategis
labalaba hitam666,2025,1,Tolong ajarkan etika dan tatakrama dan sopan santun kepada bagian teknik yang bertugas menjaga suara kalau duduk di lokasi hotel terutama pada acara pernikahan yang sopan jangan naik kaki bersila ditempat duduk jika dirumah sendiri silahkan pihak manajemen hotel ajarkan pekerja semacam ini memalukan sekali,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",negative,Pelayanan Staf & Keramahan
AWAN Bali Holiday Tour,2025,5,kamar bagus viewnya juga bagus terlihat bandara dan pantai kuta pelayanan juga ramah tapi sayang lokasinya terlalu jauh wisata tidak bisa jalan kaki jika mau berpergian dan suara truk dan bus yang lewat lumayan mengganggu dimalam hari selain itu semuanya bagus aman dan nyaman,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Pelayanan Staf & Keramahan
Blue Stars,2025,5,cek masuk sulit dan lama pelayan fnb nya ad yang tidak sopan dibuat atau yoga namanya kamarnya bagus banget pemandangannya bay view pelayan resto ramah2 aditya dan lainya sangat baik,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Kebersihan & Kenyamanan Kamar
Stevan Bimaputra,2025,1,pesan kamar depan balkon dan pemandangan teluk malah di kasi kamar yang terhalang pohon tidak terlihat apa dan pemesanan sudah tercantum 2 dewasa dan 1 anak umur 3 tahun di kasi kamar di belakang tempat acara dengan suara besar minta pindah kamar di janjikan jam 7 malam namun berulang kali diri saya sendiri dikatakan lagi 30 menit akan menyiapkan kamar saya dan akan di telpon kembali tapi sampai malam tidak ada kabar cukup untuk tidak kembali,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",negative,Lokasi & Akses Strategis
Evelyn,2025,3,kamar ny rada gelap yang paling parah toilet aku bau bnget kykny pipa ny ada yang bocor atau air toilet nya bau udah di semprot pewangi ruangan tapi tiap flush bau lagi sampai di kasi pembersih udara tidak langsung di bnerin pula lobby dan sarapan memuaskan lokasi nya daerah macet lebih baik jalan kaki ada restoran pizza italia sekitar 1km enak,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Kualitas Makanan & Restoran
Rachmawan Rizkyandri,2025,5,saya sangat menikmati menginap di hotel ini lokasi yang strategis jika ingin menjelajahi daerah ungasan jimbaran dan pantai sekitaran uluwatu sebelah hotel ada pepito pasar resto kecil yang enak dan warung bakso yang selalu ramai kamar cukup luas saat saya mengeluh bahwa mandi tidak mengeluarkan udara panas segera ditindaklanjuti dan telah dibenahi sarapan cukup beragam cukup cocok dengan lidah saya kredit khusus untuk sdri lusi dan sdri julia yang ramah dan melayani dengan memuaskan ada gym dan kolam renang saya sangat menikmati berenang di sini suasananya cukup tenang dengan pemandangan orang-orang yang menyejukkan terima kasih empat poin atas,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Fasilitas Hotel (Kolam/Gym/Spa)
Nunung Mulyani,2025,5,dianjurkan banget bisa lihat gwk langsung dari balkon hotel kamarnya bersih banget restonya jg banyak makanan nyaman,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Kebersihan & Kenyamanan Kamar
Muhajah Babny,2025,5,fasilitasnya sangat lengkap kolam renangnya ada 2 di lantai 5 dan lantai 1 ada anak juga atap kafe atau restonya juga bagus dan luas kamar sudah tersedia setrika dan pengering rambut pemandangannya juga bagus kalau dapet pemandangan kota minus tempat tidur saja yang kurang empuk,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Fasilitas Hotel (Kolam/Gym/Spa)
Joana Saragih,2025,5,Terima kasih semua staf di hotel ini terutama buat alfian yang sangat ramah dan murah hati waktu sarapan ke saya dan teman saya terima kasih untuk membuat minuman kejutan baru di hari terakhir kita dan buat yang lain dan Agus di hari terakhir sarapan kita yang sudah special siapin mangga huat teman saya yang belum pernah makan mangga Indonesia sebelumnya biarkan saya katakan dia senang sangat sangat mangganya manis sekali dan sekali saya menemukan di Kanada juga terima kasih ya semuanya terima kasih untuk keramahannya dan kebaikannya terima kasih untuk membuat kotak baru juga goreng dan nasi gorengnya enak sekali sampai bertemu lagi ya jika ke bali saya akan datang lagi lalu,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Pelayanan Staf & Keramahan
Ai J,2025,3,kamar yang nyaman bersih terletak strategis dekat gwk fasilitas lengkap makanan enak ada kejadian tidak enak ketika kamar sudah dibersihkan entah di pagi hari karena saya keluar kamar pagi2 dan ketika kembali kamar saya sakit dan mau mandi ketika mau mengambil posisi tangan tangan tangan dilipat tapi tidak rapi dan masih agak basah dan bau saya menduga tangan tangan tidak diganti tangan lama saya cuma dilipat ulang ditaro dikamar mandi saya menghubungi room service saat itu untuk pergantian tangan sampai malam pun tangan tidak datang,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Kebersihan & Kenyamanan Kamar
Hans Jap,2025,5,staf luar biasa khususnya ka frida di resepsi sangat menyambut dan membantu sarapan enak dan lumayan lengkap terima kasih ka arron untuk keramahan nya selama kami sarapan disana sayangnya fasilitas dan bangunan agak usang untuk kamar deluxe agak sedikit bau usang untungnya terbantu dengan pembersih udara,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Pelayanan Staf & Keramahan
maya kurniawati,2024,5,lokasi strategis di jalan uluwatu deket banget dengan gwk makanan halal mini pasar kami mengadakan acara disana dan memesan 30an kamar ballroomnya juga oke salesnya gercep pelayanan oke ramah kamarnya pun bagus dan bersih terawat ac oke ada balkon kolam renang ada 2 di lt 1 dan 5 tapi yang lt 5 saat itu sedang renovasi restoran di lt 5 penontonya oke view kota bali dan bisa melihat gwk makanannya enak banyak variasi dari tradisional sampai barat titik plusnya buah salad susu puding segar diletakkan di chiller dan tidak ada satonya menu bayi direstupun,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Kebersihan & Kenyamanan Kamar
Agung Irawan Marta Lingga,2025,1,Selama menginap saya selalu menaruh perhiasan dan tidak ingat pindah dari lemari tapi saya lupa membawanya saat check out setelah saya menghubungi pihak hotel ternyata kalung dan anting saya sudah tidak ada lagi,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",negative,Harga & Value for Money
Oktovin Karangan,2025,5,selama kami menginap di hotel empat poin oleh sheraton bali ungasan kami menikmati pelayanan yang begitu baik dari staf n seluruh karyawan hotel n saya suka dengan pelayanan yang diberikan oleh apriani dia sangat ramah dalam melayani tamu termasuk saya saya suka dengan pelayanannya,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Pelayanan Staf & Keramahan
Niky Purbawisesa,2025,5,kamarnya luas enak fasilitasnya komplit dan bfast nya oke cm harus di variasi yang tinggal lebih dari 3 malem lewat bosen makan yang sama terus sisanya mantul,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Kebersihan & Kenyamanan Kamar
Shofi Fadhilah,2025,5,agak terkejut karena yang semua dikira menginap di hotel ini tarif permalamnya tinggi ternyata mulai dari sekitar 750k auto terkedjoet karena siapa yang yang tidak kenal empat poin ya kan sesuai klaimnya fasilitas yang luar biasa lengkap bikin betah menginap disini gaperlu keluar keluar hotel lagi mulai dari spa family pool infinity pool resto dengan view cantik gwk sampai kids club supaya anak anak tidak bosen tinggal luar biasa disarankan sih ini saat ini belum lagi didukung dengan keramahan yang lima bintang banget kelasnya terima kasih banyak insyaallah kembali suatu saat nanti,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Fasilitas Hotel (Kolam/Gym/Spa)
Ina Feslian,2025,5,rekomen sangat baik disini kalian yang mau ke bali wajib kesini ya makanan enak2 banyak sekali macamnya anak2 juga puas banget kesan pertama anak saya gelas kecil tapi stafnya sabar2 banget sampai saya yang yang tidak enak sendiri karena anak saya lumayan tidak bisa diem dan dsini stafnya juga peduli banget sama anak2 anak2 saya melihat2 makanan langsung di samperin mau yang mana dan langsung di ambilin pokoknya terbaik disini wajib di coba ya kamar juga enak banget kasunya empuk pokoknya saya berbagi sebagian saja foto makanan tapi aslinya banyak banget menuunya sampai bingung,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Pelayanan Staf & Keramahan
Yunsky 20,2025,5,kebersihan kamar dan area toilet mohon diperhatikan lagi banyak bercak kotor disekitar dinding kamar dan toilet menu makanan nya enak dan banyak pilihan petugas resepsionis nya ramah dan sigap,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Kebersihan & Kenyamanan Kamar
kenyang begox,2024,1,Saat sampai tidak ada satupun yang bantu ambilin koper di depan sampai kamar pun bawa koper sendiri tidak dibantu sama sekali baru siap kamar seharusnya jam 3 tapi malah jam 6 sore baru siap kamarnya padahal kita uda cek masuk dluan dari jam 11 siang dan titip koper di sana terus salah satu kamar sodara gw juga bermasalah saat mau buka kamarnya malah kesalahan kuncinya padahal kita sengaja pesan kamar yang ada tampilanya padahal kita sengaja pesan kamar yang ada tampilanya tapi tidak sesuai ekspektasi deh tampilanya bener2 penuh malah ketutup pohon saat malam mau masuk kamar gw kunci gw bermasalah sampai ke resepsionis 2x,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",negative,Lokasi & Akses Strategis
Trisna Wulandari,2025,5,Hotel sangat bagus bersih view nya bagus teruntuk komang adi bartander dan desak sangat baik layanan ramah bangt aku akan kembali ke hotel ini ketika aku ingin hv liburan terima kasih banyak empat poin komang adi dan desak untuk layanan terbaik Anda,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Pelayanan Staf & Keramahan
Ardi Santoso,2024,5,kamar baik lokasi strategis samping gwk pelayanan top deh ramah dan respon cepatnya pilihan sarapan cukup lengkap ada menu tradisional standar buffet dan barat untuk varian makanan makan malam nya juga cukup banyak yang jelas rasa makanan disini enak semua rata2 yang paling enak menurut kami adalah makanan penutup fyi kebetulan kami mendapatkan kamar persis akses kolam renang di lt 5 untuk kamar dengan lantai marmer memang dingin dan lembab ac internal sudah pasti sejuk pemandangan kolam renang lt 5 juga oke kita bisa melihat sebagian kuta dan pantai,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Kebersihan & Kenyamanan Kamar
Evans Yudi Nugraha,2023,5,hotel ini sangat dekat dengan area patung garuda wisnu kencana gwk kita bahkan bisa melihatnya dari hotel ini memiliki fasilitas yang cukup lengkap mereka memiliki aula yang cukup besar ruang pertemuan gym kolam renang dan resto kebersihan dan kualitas kamarnya bagus pengatur suhu ruangan yang dingin wi fi yang kencang kasur yang empuk memenuhi ekspektasi untuk ukuran hotel bintang empat menu sarapan yang ditawarkan cukup beragam yang terpenting rasanya enak stafnya sangat ramah dan responsif dalam memenuhi kebutuhan tamu di sini kita juga bisa meminta hotel membantu menyewakan sepeda motor untuk digunakan untuk berjalan jalan,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Fasilitas Hotel (Kolam/Gym/Spa)
adi sastrawan,2025,5,Trimakasi banyak tim empat poin ungasan selama saya menginap layanan nya baik sekali dan saya di perdagangan langsung sama koki ari gunawan saat sarapan untuk menu sarapan semua enak dan sepcial menu yang di kasi koki arik,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Pelayanan Staf & Keramahan
Ervina Sari,2025,1,Buat satpam baru yang bernama ronaldo atau nado atau sapa dah itu nama nya tolong belajar yang ramah anda jangan usah sok galak sama siapa saja yang mau ke sana tegas boleh galak dan sok serem jangan anda hanya seorang satpam saja sudah sok gmn jadi yang lain buat pelayanan anda maaf bintang satu banyak satpam yang bekerja di hotel lain yang ramah jadi tolong perbaiki pelayanan anda jangan usah sok terima kasih,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",negative,Pelayanan Staf & Keramahan
Bonifacius Arbanto,2022,5,saya menginap di kamar 880 cek masuk 21 sept 2021 resepsi dan keamanan ramah dan sangat membantu kamarnya bersih dan sangat nyaman ketika sarapan pagi menu beragam dan rasa masakan lezat sekali petugas di restoran di luar rumah ramah salah satu nama widya ramah dan sangat membantu terutama terkait dengan penyesuaian pelaksanaan normal baru hari ini tidak sengaja pencet tombol kamar untuk tidak dibersihkan dan saya pergi untuk menjadi pelatih uji kompetensi ikan karang di uni udayana saya pikir ya sudahlah nasib kamar tidak membersihkan sakit harinya tanpa diduga2 selang beberapa menit setelah saya masuk kamar petugas kebersihan datang untuk menawarkan untuk kamar dibersihkan,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Kebersihan & Kenyamanan Kamar
Dini MS,2025,5,Kamarnya bagus nyaman dan ramah2 stafnya pokoke rekomen untuk yang mau nginap dibali,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Kebersihan & Kenyamanan Kamar
Hanisya Hanisya,2024,5,kamarnya bersih pelayanannya duh bagus banget kamar saya ada rusak sama mandinya tidak butuh lama buat teknik hotel buat bertindak tapi sepertinya hotel ini mengutamakan kepuasan pelanggan akhirnya saya diminta pindah ke kamar yang lebih bagus dan keren makanan sarapannya enak terima kasih empat poin,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Kebersihan & Kenyamanan Kamar
Ricky Tansil,2025,5,Pelayanan yang sangat memuaskan dari staf hotel terutama restoran pelayanan sangat memuaskan saat ulang tahun dapat hadiah kue ucapan dan nyanyi ulang tahun dari staf restoran terima kasih terima kasih bu lily pak yoga pak agus pak budi bu novi dll untuk pelayanan yang luar biasa,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Pelayanan Staf & Keramahan
Lestari setiarini,2025,5,nginep dsini nyamaan lengkap lg ada kolam renang nya d lt1 dan 5 dan ada taman bermain nyaa jadi buat anak2 betah sarapannya enak menu variatif ramah2 smw crew nya terutama om pai yang waktu makan selalu siap melayani dtawarin kopi atw teh dan ramah banget senyum mulu semangat yaa kerjanya terimakasih empat poin oleh sheraton bali ungasan sukses teruus ya,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Fasilitas Hotel (Kolam/Gym/Spa)
Taufik Akbar,2025,5,ukuran kamarnya saat nyaman bersih menu sarapannya enak banget semuanya layanan yang sangat baik dari mba zara,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Kebersihan & Kenyamanan Kamar
Artha Astawa,2025,4,Saat pertama memeriksa masuk staf dihotel sangat ramah sangat membantu dan tinggal di sini sangat nyaman kemacetan menjadi hal yang serius ditanggani saat ini dibali,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Pelayanan Staf & Keramahan
B S,2022,5,karena di bali jadinya sewa motor parkir mobil dekat dengan lobi tetapi parkir motor lumayan dan harus naik ramp untuk ke lobi terbuka tanpa menggunakan ac dan ada mini air terjunnya proses cek masuk cepat dan bisa dini cek masuk dapat upgrade kamar ke deluxe laguna view untuk kamar bersih dan interiornya menarik saya banyak membaca keluhan mengenai tekanan udara untung di kamar saya tidak terjadi fasilitas standar sikat gigi sabun shampoo tv ukuran besar dan jernih kamar dilengkapi balkon dan setrika untuk kolam renang ada di lantai 2 lantai 5 dan di lantai 1 masing2 tidak terlalu luas untuk gym alatnya lumayan lengkap dan luas luas,KOMPETITOR,Bintang 4,"FourPointsbySheratonBali,Ungasan",positive,Kebersihan & Kenyamanan Kamar
