User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Aspek
Frederick,2025,5,saya bersama keluarga menginap selama 4 hari 3 malam di hotel di atas wahid hasyim jakarta dan pengalaman kami benar benar menyenangkan hotel ini memiliki konsep yang modern kekinian dan terasa sangat ramah untuk keluarga begitu tiba kami langsung disambut dengan proses pemeriksaan masuk yang cepat dan staf yang sangat ramah anak saya pun merasa nyaman karena suasana hotel yang santai dan tidak terlalu kaku seperti hotel bintang 4 kebanyakan ada permainan billiard anak dan dewasa di lobi anak saya sangat menyukai permainan tersebut kamar yang kami tempati bersih dan modern tempat tidurnya sangat nyaman dan interior kamar dihiasi dengan elemen desain yang unik dan berwarna khas gaya yang tinggi yang energi kamar,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Pelayanan Staf & Keramahan
Nofen Sumianto,2025,5,Hotel paling nyaman klo saat tinggal di dijakarta layanan nya keren apalagi internet sangat sangat jos sangat mendukung saat ada kebutuhan pertemuan online dan streaming terima kasih pak bernard itu,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Pelayanan Staf & Keramahan
Freddy Linardo,2025,5,kamar luas pelayanan cepat dan ramah lokasi strategis di kota tengah,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Lokasi & Akses Strategis
indira alhajjriana,2025,5,suka banget nginep disini kamarnya bersih ada setrika juga sarapannya enak banyak pilihannya sarapan hari ini dibantu banget sama mas hari terima kasih ya untuk pelayanannya yang cepat dan kita sudah ditawarin takeaway kopi juga,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kebersihan & Kenyamanan Kamar
tina olina,2025,5,terkesan dengan pelayanan staf yang cekatan membantu mulai dari pos masuk hotel sampai rumah menjaga kamarnya bersih ada stasiun air juga staf restonya super duper baik dikariikan tempat tanya mau minum apa mau makan apa mau diambilkan apa makanan juga bervariatif,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kebersihan & Kenyamanan Kamar
Ferry Nurdiansyah,2025,5,hotel nya bagus makanan nya enak lokasi strategis,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kualitas Makanan & Restoran
Nadya Andriani,2025,5,kamarnya oke makanannya oke aksesibilitas mudah dijangkau,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kebersihan & Kenyamanan Kamar
dwi kusumaningtyas,2025,5,Sukaa banget berjalan kaki ke area kuliner sabang nyaman hotelnya hospotalitas bonvoy grup dah pasti bestlah kamar luas buat berempat babycrib siap atas permintaan staf ramah dan membantu ada kolam renang pun cuma taman bermain ana bisa kali yaa ditambahannya umumnya baik tinggal dan pengalaman,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Pelayanan Staf & Keramahan
ERIGA P H,2025,5,hotel tengah kota dengan pelayanan yang sangat baik dan ramah menu sarapan cukup baik desain dan tata letak kamar oke semua yang agak sedikit menyulitkan mungkin akses keluar masuk kendaraan dan tempat parkir yang terbatas secara keseluruhan semua bagus,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kebersihan & Kenyamanan Kamar
Yasmin,2025,5,hotelnya letaknya strategis dekat dengan halte dan stasiun dekat sarinah dan area kuliner di jalan sabang di lobi hotelnya ada meja billiard dan beberapa permainan lainnya kamarnya luas dan nyaman fasilitasnya lengkap ada setrika dan meja setrika juga di setiap lantai juga ada stasiun isi air gymnya juga cukup luas dan lumayan banyak alat olahraganya makanan sarapannya juga variatif dan enak ada jajanan tradisional juga favoritku nasi uduk dan nasi kuningnya coklatnya juga enak staf2nya juga ramah ramah,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Lokasi & Akses Strategis
riska ayu Nur Fitri,2025,5,sumpah padahal bukan bintang 5 tapi sarapannya lengkap banget sampe tidak cobain semua karena beraneka ragam banget tolong lokasi dekat sama sabang klo mau kulineran dan dekat monas klo mau ke wisata akses kemanapun deket karena tengah kota dan ada transjakarta juga stafny juga ramah dan kamarnya nyaman,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kebersihan & Kenyamanan Kamar
Muhammad Ridho,2025,5,pengalaman menginap yang menyenangkan di atas hotel wahid hasyim lobbynya keren terdapat banyak permainan yang dapat dimainkan bersama teman ada ding dong sepakbola sampai biliar kamarnya pun lega dan nyaman nyaman selimutnya tebal ada guling fasilitas pun lengkap minum air komplemen tersedia jika kurang bisa isi ulang di dispenser dekat lift masing masing lantai kamar kamar mandinya terasa ngepas tidak terlalu luas namun pancuran udara dari mandi air mereka panas untuk mandi sekali pun bukan kendala tangan pun wangi dan koneksi wifi tebal mudah serta stabil internetnya cepat jika di kisaran saja 80 mbps tv di kamar pakai tv pintar mungkin jadi,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kebersihan & Kenyamanan Kamar
Herry R. Siregar (Qybo),2025,5,sudah beberapa kali nginap di sini dan merasa betah dengan keramahan dan kesigapan untuk stafnya dari mulai penyambutan sekuriti gerbang masuk,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Pelayanan Staf & Keramahan
syarif,2025,5,kamarnya bersih wangi setiap siang kamarnya di bersihkan oleh ridho,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kebersihan & Kenyamanan Kamar
Ai J,2025,5,hotel yang strategis terletak dekat dengan kawasan perbelanjaan dan kuliner fasilitas lengkap kamar nyaman kasur besar makanan enak,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Lokasi & Akses Strategis
Redo Etamora,2025,4,tgl 23 27 Agustus 2024 kemarin menginap di sini hotel nya bagus kamar nya bersih yang paling berkesan menu sarapan nya oke banget enak enak semua di tambah crew untuk sarapan pagi nya ramah semua sempat pijit dan spa sekali sama mb nama dea katanya minus cuma kolam renang sih yang terkesan agak di paksakan untuk ada jika yang lain oke semoga besok bisa kembali menginap kembali di sini,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kebersihan & Kenyamanan Kamar
Vini Afriadi,2025,5,tempatnya enak ditengah jakarta dekat kemana2 baik itu kuliner mall atau yang lainnya dianjurkan edit review servisnya oke teknik jg gercep tapi kapok muatan di terra charge 3x putus tidak jelas offline tiba2 dan 1x dibilang ditinggalkan pdhl jelas2 sudah konek dan diatur mau brp kwh pertama kali menggunakan terra charge dan tidak lagi2 aplikasinya jg jelek banget hrs top up buang buang uang kesimpen di aplikasinya dan muatannya labil banget kasian kan teknik bolak kasian kan kena maaf omel balikin ya bapak2 tapi saran deh buat hotel pasang voltron atau spklu saja dan,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,negative,Lokasi & Akses Strategis
Fajar Edisya Putera,2025,5,beberapa highlight hotel ini 1 staff nya sangat ramah untuk kelas bintang 4 layanan staff nya setara bintang 5 jika ada tamu terlihat staff berusaha menyapa dengan aloha 2 ukuran kamar standar cukup luas 3 sarapannya oke untuk kelas bintang 4 ada beberapa makanan tradisional 4 lokasi bagus tidak terlalu jauh dari sarinah beberapa hal negatif tentang hotel ini 1 lemari untuk menyimpan pakaian tidak layak ada banyak gantungan tetapi tidak tersedia tempat untuk membuat menaruh pakaian saat dikeluarkan dari koper tapi untungnya ruangan cukup luas terpaksa koper saya tinggal saja di dekat tempat tidur 2 mungkin karena tema hotel bisnis kolam renang sangat kecil tapi ya ini tidak sesuai dengan tema waktu hari,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Pelayanan Staf & Keramahan
Firza Maulana,2025,5,kamarnya luas bersih sarapannya juga mantap terbaik pokoknya,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kebersihan & Kenyamanan Kamar
Nur Hidayat,2025,5,pelayanan ramah proses cek masuk cepat makanan komplit dan enak lokasi strategis,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Pelayanan Staf & Keramahan
Iyan Abdul,2025,5,menginap di atas cukup layak dengan harga sejuta keatas sarapan nya juga oke setiap jam ada menu khusus terima kasih juga buat mbak aurel layanan nya oke banget apa saya minta gercep mbak aurel juga sigap melayani keluarga saya yang lain staf lain juga ramah setiap bertemu tamu selalu mengapa pagi siang,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Pelayanan Staf & Keramahan
Ahmed Makki,2025,5,hotel ini bagus dan lokasinya sangat bagus staf di restoran sangat baik dan makanannya bervariasi resepsionis pagi hari dibedakan dan elegan dalam urusannya tetapi layanan kamar perlu mengembangkan kereta bagasi membawanya ke kamar yang memaksa saya untuk turun dan mengambil tas sendiri juga ketika saya meminta selimut tambahan resepsionis malam dengan keras menolak memberi saya satu dan layanan kamar menolak untuk memiliki anggota,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,negative,Kualitas Makanan & Restoran
Andry Gunawan,2025,5,hotel nyaman lokasi strategis dan sarapan enak pelayanan ramah sangat membantu khususnya oleh mas satrio dan tim nook restoran,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Pelayanan Staf & Keramahan
Aldi Ansyah,2025,3,Disamping front desk dan crew sarapan yang sangat menyambut dan kamar yang nyaman hanya tidak bukti suara kualitas cuci nya sangat sangat mengecewakan cuci datang terlambat jam 21 30 mengganggu jam istirahat dan wangi parfum cuci nya seperti cuci kiloan yang sangat tajam,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,negative,Pelayanan Staf & Keramahan
yudhi k,2025,3,semoga ada perbaikan untuk kedatangan cuci agar tidak terlalu malam,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,neutral,Kebersihan & Kenyamanan Kamar
Anggun Suwely,2025,5,biasanya saya jarang ngasi review hotel tapi berhubung hotel ini sangat berkesan bagi saya jadi ya mau menulis2 sedikit deh untuk staf disini sangat ramah dan membuat saya dan keluarga betah selama menginap kamar bersih keamanan hotel terpantau baik sarapan juga bervariasi cocok kok sama harga,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Pelayanan Staf & Keramahan
Harry Mahardika,2025,5,Saya datang ke aloft hotel ke acara peluncuran Asus Zenbook A14 dan berikut review saya tempat internet yang nyaman cepat ruang pertemuan luas dan banyak kursi pilihan buat menunggu disediakan minuman pria mini bilar makanan enak dan sangat bervariasi keren ya ada nasi padang dan roti canai gokil oiya di loungenya ada bilar dan beberapa permainan juga pelayanan sangaat ramah toilet besar enak buat berak musola bersih dan nyaman angkat sempit mungkin mas2 pelayannya terlalu ekstrovert wkkwk cuman gw kurang nyaman tbh kurang loker untuk alas kaki,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kebersihan & Kenyamanan Kamar
Rahmah Tya Nuhung,2025,4,lokasi di jakarta pusat jadi mudah untuk mengakses tempat lain,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Lokasi & Akses Strategis
Lux Five,2025,4,Pelayanan Restonya ramah2 dan antusias gati trims di atas,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kualitas Makanan & Restoran
IGUY LEGEND,2025,5,waah hotel ini saya di layanin dan merasakan bagai seorang raja pegawai hotelnya sopan dan kalem meskipun itu memang hotel standar menurut aq namun ada bagian2 setiap kali ketemu selalu di sapa siang malam di sarapan mereka slalu gercep apa yang kita minta hmm yang saya ingat salah satunya itu namanya mba nisya banget dan okee dahh terima kasih aloft hotel,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Pelayanan Staf & Keramahan
erfina cahyanti,2025,5,strategis kamar nyaman dengan bantal dan guling fasilitas komplit dan bersih makanan juga enak ada menu makanan padang di makan siang baru sedep,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kebersihan & Kenyamanan Kamar
Juliana Peterson,2025,5,overall pelayanan sangat bagus sekali terutama untuk pelayanan dari kak nurul sangat telaten dan tepat waktu saya jadi tidak menunggu jamuan makanannya sangat enakk dan bervariasi lokasi nya jg strategis tidak terlalu jauh,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Lokasi & Akses Strategis
Budi Prabowo Lukieto,2025,5,pertama kali menginap di hotel ini pengalaman yang cukup kurang nyaman hanya ketika kami sarapan petugas jaga resto tiba tiba tiba menghampiri kami saat kami sedang mengambil makanan petugas mengatakan bahwa kamar kami tidak termasuk sarapan bukankah saat kami masuk ke resto sudah ditanya berapa kamar dan dipersilahkan dan juga saat kami memeriksa petugas resepsi menyampaikan dimana lantai berapa dan batasan sampai jam berapa sarapan dilayani akhirnya setelah petugas jaga resto untuk kami minta konfirmasi ulang sebagian resepsi baru tahu jika kamar kami memang termasuk sarapan semoga pihak manajemen hotel lebih membangun lagi untuk kru untuk saling koordinasi dengan baik,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,negative,Kualitas Makanan & Restoran
Achmad Sya’roni Firmandani,2025,4,terletak di lokasi yang strategis dekat dengan sarinah view kamar bagus bangunan baru dan bersih namun kamar terasa agak sempit ruang pertemuan tidak terlalu luas restoran makanannya enak namun bervariasiinya kurang tempat duduk di restonya juga terbatas terdapat kolam renang indoor,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Lokasi & Akses Strategis
Bilqis Sabiilalhaqq,2025,3,Ke hotel ini memang hanya untuk bertemu saja Camilan dan servicenya oke tapi saat makan siang sepertinya tidak diperhitungkan akan menumpuk di satu restoran yang sempit mungkin jika tau hari itu ruang pertemuan penuh dipesan dibuat jadwal saja untuk makan siang saya saja kemarin makan sambil berdiri deket kolam renang,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kualitas Makanan & Restoran
Helena,2025,5,Jadi layak untuk sarapan di sini terima kasih untuk aloft jakarta sudah memprioritaskan tamu terima kasih juga untuk kak aurel beberapa hari kemarin sarapan dengan teman selalu ada kak aurel dia begitu senang ketika dia melihat tamu dan tetap tersenyum terima kasih kepada staf di loft untuk selalu menanyakan sarapan saat sedang makan sehingga saya dapat mengekspresikan tentang rasa sarapan untuk kamar juga oke apalagi melihat kota cahaya baru berikutnya kesana lg sma kluarga,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Pelayanan Staf & Keramahan
Wong Cilik,2025,5,pengalaman yang sangat menyenangkan di hotel sini pelayanan sangat memuaskan dan juga ramah terima kasih kak nisya dan juga teman teman yang ada di hotel sini atas semua mudahan baru nanti bisa kesini lagi,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Pelayanan Staf & Keramahan
Yulia Arfianti,2025,5,menginap di malam tahun baru bersama keluarga lokasi nya oke pelayanan dari karyawan nya oke walau di fo mba nya kurang tersenyum tapi di resto nya dan lainnya sarapan terbaik jangan ditanya mantap deh jadi ingin datang lagi berikutnya nya aku rekomendasi banget untuk semua yang membawa keluarga atau pun lainnya,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kualitas Makanan & Restoran
Andi Marfina,2025,5,Lokasinya strategis dekat dari lokasi acara saya di jcc samping hotel juga banyak tersedia penjualan aneka makanan bisa ditempuh dengan jalan kaki sekitar bbrpa meter saja dari hotel layanan dan makann hotel juga enak lobbynya nyaman dan tersedia permainan dan tempat utama anak,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Lokasi & Akses Strategis
Jim Hidayah Wahid,2025,5,Hotel 4 terasa seperti 5 hotel ini dari segi aspek pelayanan ramah sekali cukup banyak interaksi terlebih lagi ketika sedang di resto pelayanan sangat ramah menu makanan pembuka berat dan penutupnya sangat beragam rasa pun tidak kalah dari tampilan makanannya restonya juga nyaman banget semua detail penting sangat saya sukai,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kualitas Makanan & Restoran
Nur Laela,2025,5,peringatan wajib tinggal di sini hotel yang berada di tengah pusat kota ini sangat saat ini untuk dapat menjangkau seluruh arena di kota jakarta dekat dengan minimarket dan tempat kuliner kamarnya nyaman luas dan besar pegawai2 alofnya baik2 ramah2 semua staf dari bagian keamanan resepsionis lobby bar kafe di tempat buat sarapan dan housekeepingnya semua pelayanannya bintang makanan untuk sarapannya lengkap banget sukak,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kebersihan & Kenyamanan Kamar
Dewi Anggraeni,2025,5,menginap di sini untuk liburan malam tahun baru layanan oke ramah2 kamarnya modern dan unik bantalnya banyak dan ada gulingnya fasilitas kamar lengkap ada setrikaan juga dan jarang2 jg hotel nyediain jam digital sarapannya oke sayangnya pemandangannya langsung gedung saat kamar saya dan tv nya belum pintar tv tapi tetap puas menginap di sini,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kebersihan & Kenyamanan Kamar
Parlina R,2025,5,hotel yang strategis karena mau kemana mana mana agak lebih dekat dengan berbagai macam kuliner ibu kota baru kali ini menginap di hotel kembar tapi ranjangnya sizenya lebih besar dari hotel2 pada umumnya kasur juga indonesia banget karena dilengkapi dengan guling kamarnya bersih dan rapi dan kamar mandi dengan fasilitas lengkapnya dikasi 6 tangan dari untuk muka untuk tangan dan untuk badan dari pengering rambut SMP setrika semuanya ada pelayanan pegawainya ramah apalagi kalau sarapan bagian restoran ramah banget dengan makanan sajian yang sangat bervariasi enak enak dari makanan tradisional SMP barat dan menu sehat semuanya lengkap anak anak hepi karena ada kul,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kebersihan & Kenyamanan Kamar
Diaz Nawaksara,2024,5,akses dari stasiun gambir senen 10 15 menit menggunakan motor dan 10 20 menit menggunakan mobil jika jalanan lancar kamar nyaman tapi ruang rapat terlalu sempit untuk kapasitas 20 orang pelayanan bagus sahian makannya sangat beragam dari makanan desa sampai mancanegara dianjurkan hotel,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kebersihan & Kenyamanan Kamar
Jihan Utami,2024,5,nyaman lokasi strategis sarapan enak dan variatif kamar bersih dan wangi ada setrikanya juga petugas ramah dan tanggap terutama bagian resto fasilitas kamar lengkap keamanan oke usul smart tv dan taman bermain anak terima kasih semoga sukses selalu,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kebersihan & Kenyamanan Kamar
putri mainy,2024,5,makanannya bervariasi ada tempat buat nyetrika juga senang banget teramat jarang sekali ada hotel pakai fasilitas kaya ini kopinya enak buahnya banyak macamnya dekat dengan sarinah bisa jalan kaki ada udara mineral isi di dispenser depan kamar jadi bisa tambah air minum,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kebersihan & Kenyamanan Kamar
Aas Gussusanto,2024,5,hotel yang menurut saya konsepnya menyenangkan bermain penuh aktif yang berikan warna tersendiri dibandingkan hotel di daerah sekitar ada kolam renang biliard live musik ada ding dong mainan jadul anak jaman 80 90an persewaan sepeda ruang luas lengkap amneties semua kamar non merokok makanannya bukan enak lagi tapi ueennaak anak-anak ramah,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Fasilitas Hotel (Kolam/Gym/Spa)
Vitarinda,2025,5,sangat nyaman sekali menginap di atas fasilitas juga lengkap bahkan sampai ke bantal guling dan setrikaan lengkap dengan meja setrikanya hal yang belum pernah saya temui sebelumnya di hotel lain adalah jam kemudian juga terima kasih atas menyediakan dispenser udara isi ulang dispenser sabun dll untuk meminimasi sampah terkeren adalah sabun sampo dan kondisionernya wangi sangat sangat sangat tidak membutuhkan parfum karena habis mandi langsung santai hal yang kurang kusuka adalah restonya yang sempit dan terpisah pisah jadi agak merepotkan karena harus membuka pintu dan amsuk ke kamar merokok,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kebersihan & Kenyamanan Kamar
gede andara,2025,5,hotelnya baguss makanan di restonya juga beragam dan enak enak juga di bantu dengan kak nurul yang ramah dan cepat kalau mnta sesuatu yang terbaik pokoknya,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Pelayanan Staf & Keramahan
jimmy soemitro,2025,5,Hotel ini layak sekali lokasinya strategis cukup jalan kaki ke sabang banyak tempat makan walaupun hotel ini tidak besar tapi kamarnya lumayan luas dengan kebersihan yang layak diacungi jempol,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kebersihan & Kenyamanan Kamar
Agnes,2023,5,semuanya sempurna sih lokasi strategis deket kemana mana mau mau makan deket kepusat kuliner sabang sarinah juga deket yang mau meghabiskan akhir pekan juga enak bisa cfd kamar tidak terlalu besar tapi tidak terlihat sempit tempat tidur kembar besar bisa buat tidur berdua kamar mandi juga luas untuk melihat saya memilih di lantai atas dan kota view jadi terlihat gedung di malam hari kolam menurut saya sih kecil yah untung saja masih banyak orang tidak jadi si anak msh bebas brrenang di lobi ada musik live tunggal sih msh kd bisa mendengar2 musik dikit hanya saja pada wkt itu ada mati listrik hingga 2 atau 3 kali yang membuat kita agak,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kebersihan & Kenyamanan Kamar
Dimashar Tanto,2025,5,tempatnya nyaman dan anak-anak ramah sekali karena ada tempat bermain bagi anak anak catatan ketika mau masuk ke atas hotel jangan terlalu cepat jalannya karena pintu masuknya tidak terlalu besar jadi berisiko terlewat,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kebersihan & Kenyamanan Kamar
Yovent “Foodioz”,2024,4,rekomendasi untuk hotel bintang 4 di kawasan jakarta pusat tinggal jalan kaki sampai ke kawasan sarinah area kuliner jalan sabang hotel gaya casual modern dan minimalis baik dari interior dan nada warna kamar standar bintang 4 cukup luas untuk dua orang rapi dan bersih kolam renang dan gymnya satu lantai dengan restoran jadi harus lewat depan restoran untuk menuju kesana,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Fasilitas Hotel (Kolam/Gym/Spa)
Achmad Maulana Sidiq,2024,5,hadir ke hotel ini untuk memenuhi undangan dari kementerian keuangan ri untuk ruangan rapat baru saya rasa cukup baik konsumsi nya pun enak mulai dari cemilan bahkan makanan utama nya hotel ini memberikan pengalaman terbaik dari beberapa hotel yang pernah saya datangi,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kualitas Makanan & Restoran
Cesar ZC,2024,5,Salah satu hotel favorit untuk menginap di Jakarta Kelebihannya adalah kamarnya yang luas dan bersih serta menu sarapan yang cukup komplit dibandingkan hotel bintang 4 lainnya di wilayah yang sama kekurangannya hanya fasilitasnya yang agak kurang lengkap belakangan ini,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kebersihan & Kenyamanan Kamar
